source;destination;local_departure_time;local_arrival_time
JPA;BSB;2016-05-10 17:07:00;2016-05-10 19:50:00
BSL;BCN;2015-03-20 08:40:00;2015-03-20 10:20:00
TPE;HGH;2016-03-26 12:20:00;2016-03-26 14:10:00
LGW;SZG;2016-03-27 09:10:00;2016-03-27 12:05:00
SYX;DLC;2016-03-16 07:00:00;2016-03-16 13:55:00
TZX;SAW;2016-03-26 22:40:00;2016-03-27 00:25:00
CDG;CAN;2016-04-04 23:20:00;2016-04-05 16:55:00
DUS;STR;2016-05-15 08:25:00;2016-05-15 09:25:00
EYP;BOG;2016-08-13 12:40:00;2016-08-13 13:40:00
HYD;NAG;2016-12-14 05:50:00;2016-12-14 07:30:00
TNA;CSX;2016-05-13 13:45:00;2016-05-13 16:00:00
SUB;UPG;2016-10-13 06:00:00;2016-10-13 08:30:00
OLB;FCO;2016-07-24 19:55:00;2016-07-24 20:50:00
CGR;CGH;2016-07-28 14:24:00;2016-07-28 17:05:00
GAY;VNS;2016-10-14 15:50:00;2016-10-14 16:25:00
RIX;FRA;2016-05-17 16:45:00;2016-05-17 18:10:00
DEL;RPR;2017-01-20 17:25:00;2017-01-20 19:15:00
CDG;AUH;2017-03-07 20:50:00;2017-03-08 06:35:00
LPB;CBB;2017-08-06 12:45:00;2017-08-06 13:20:00
CDG;RAK;2016-05-27 16:05:00;2016-05-27 18:35:00
DUS;TXL;2017-01-30 15:00:00;2017-01-30 16:10:00
BDO;JOG;2016-10-13 14:25:00;2016-10-13 15:35:00
TRD;RVK;2016-12-13 14:40:00;2016-12-13 15:15:00
YQT;YXL;2017-01-26 17:25:00;2017-01-26 17:15:00
CAN;LHW;2016-08-13 08:50:00;2016-08-13 12:05:00
CWB;CAC;2016-10-18 17:24:00;2016-10-18 18:47:00
YHZ;YDF;2017-07-02 07:40:00;2017-07-02 09:38:00
PMI;FKB;2017-06-03 20:35:00;2017-06-03 22:40:00
LPB;VVI;2016-06-12 14:00:00;2016-06-12 15:00:00
MEX;QRO;2016-06-23 18:15:00;2016-06-23 19:18:00
YVR;YEG;2016-05-09 21:20:00;2016-05-09 23:50:00
SIN;KUL;2016-09-24 15:25:00;2016-09-24 16:25:00
AMS;PBM;2017-05-17 15:15:00;2017-05-17 20:45:00
NVT;GRU;2016-05-10 11:47:00;2016-05-10 12:50:00
EDI;LCY;2016-03-09 09:05:00;2016-03-09 10:40:00
GRU;POA;2016-04-11 13:20:00;2016-04-11 14:45:00
STN;MAN;2016-03-27 20:20:00;2016-03-27 21:15:00
PLS;ANU;2016-04-01 18:35:00;2016-04-01 20:30:00
CAN;KWL;2016-03-16 22:05:00;2016-03-16 23:15:00
KGL;NBO;2016-05-10 18:45:00;2016-05-10 21:10:00
PVG;NGO;2016-05-07 17:55:00;2016-05-07 21:20:00
DOH;TIF;2016-06-14 00:45:00;2016-06-14 03:15:00
CJU;GMP;2016-05-05 18:45:00;2016-05-05 19:50:00
CJS;MEX;2016-06-17 10:55:00;2016-06-17 14:35:00
CIX;LIM;2016-04-26 08:30:00;2016-04-26 10:00:00
XIY;PVG;2016-09-14 11:05:00;2016-09-14 13:15:00
